name,city,state,industry,type
Hydra Designs,Asheville,North Carolina,Technology - Graphic Design & Web Development,Worker Co-op
Ideal Cleaning,Bronx,New York,Cleaning Services,Worker Co-op
IFCA (Industrial Fabrics Cooperative of America),Minneapolis,Minnesota,Engineering & Manufacturing,Worker Co-op
In Good Company Childcare,Portland,Oregon,Education & Childcare,Worker Co-op
Inkworks Press,Berkeley,California,Media - Copy & Printing,Worker Co-op
Insurrection Cuisine Collective,Denver,Colorado,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Interpretize,Portland,Oregon,Business Support Services - Translation & Interpretation,Worker Co-op
Isthmus Engineering & Manufacturing,Madison,Wisconsin,Engineering & Manufacturing,Worker Co-op
Jade Systems,San Francisco,California,Technology - Support Services,Worker Co-op
Joe Van Gogh Coffee,Durham,North Carolina,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Journeyman Distillery,Three Oaks,Michigan,Food & Beverage - Production & Manufacturing,Democratic Workplace
Jula's House Cleaning,Oakland,California,Cleaning Services,Worker Co-op
Justice at Work,Boston,Massachusetts,Legal Services,Worker Co-op
Kaleidoscope Consulting LLC,Madison,Wisconsin,Business Support Services - Consulting,Worker Co-op
KMEC Community Development,Denver,Colorado,Business Support Services - Consulting,Worker Co-op
Lancaster Renewable Energy,Lancaster,Pennsylvania,Energy,Worker Co-op
Landsman Development,Madison,Wisconsin,Build & Design - Construction,Worker Co-op
Las Jardineras Cleaning Cooperative,Brookline,Massachusetts,Cleaning Services,Worker Co-op
Lava Mae,San Francisco,California,Health - Wellness,Democratic Workplace
Lazo Cooperativa,Sunset Park,New York,Cleaning Services,Worker Co-op
Left Hand Brewing Company,Longmont,Colorado,Food & Beverage - Production & Manufacturing,Democratic Workplace
Lela Brewing Company,Augusta,Kansas,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Lenox Hill Radiology,New York,New York,Health - Clinics,Democratic Workplace
Literacy for Environmental Justice,San Francisco,California,Education & Childcare,Democratic Workplace
Little River Roasting,Niagara Falls,New York,Food & Beverage - Production & Manufacturing,Worker Co-op
Loomio Cooperative,New York,New York,Technology - Support Services,Worker Co-op
Lustre Cleaning Collective,Portland,Oregon,Cleaning Services,Worker Co-op
Mariposa Food Co-op,Philadelphia,Pennsylvania,Food & Beverage - Grocery,Democratic Workplace
Mass Design Group,Boston,Massachusetts,Build & Design - Architecture & Interior Design,Democratic Workplace
May Day Bookstore,Minneapolis,Minnesota,Media - Bookstores & Publishers,Worker Co-op
MedCoShare LLC,New York,New York,Health - Clinics,Worker Co-op
Metta Earth Institute,Lincoln,Vermont,Education & Childcare,Worker Co-op
Michigan Building and Construction Trades Council,Lansing,Michigan,Build & Design - Construction,Democratic Workplace
Migrante,San Francisco,California,Business Support Services - Translation & Interpretation,Worker Co-op
Milk Not Jails,Brooklyn,New York,Food & Beverage - Agriculture,Democratic Workplace
Mindful Creative,Asheville,North Carolina,Media - Digital Production,Worker Co-op
Molli's Cafe Worker Co-operative,New York,New York,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Mondragon Bookstore & Coffeehouse,Winnipeg,Manitoba,Media - Bookstores & Publishers,Worker Co-op
Montauk Soups,Brooklyn,New York,Food & Beverage - Production & Manufacturing,Worker Co-op
Mountain Sprouts,Elkins,West Virginia,Education & Childcare,Worker Co-op
Movement Strategy Center,Oakland,California,Business Support Services - Consulting,Democratic Workplace
Multicultural Community Center,Sioux City,Iowa,Business Support Services - General,Democratic Workplace
Namaste Solar,Boulder,Colorado,Build & Design - Solar Installation,Worker Co-op
National Cooperative Grocers,Iowa City,Iowa,Food & Beverage - Grocery,Democratic Workplace
Natural Home Cleaning Professionals,Portland,Oregon,Cleaning Services,Worker Co-op
New Community Project,Elgin,Illinois,Business Support Services - General,Democratic Workplace
New Culture Creamery,San Francisco,California,Food & Beverage - Production & Manufacturing,Worker Co-op
New Economy Coalition,Boston,Massachusetts,Business Support Services - General,Democratic Workplace
New Era Windows,Chicago,Illinois,Engineering & Manufacturing,Worker Co-op
New Moon Natural Foods,Eureka,California,Food & Beverage - Grocery,Worker Co-op
New World Foundation,New York,New York,Business Support Services - General,Democratic Workplace
Niles Associates,Boulder,Colorado,Technology - Support Services,Worker Co-op
North Coast Co-op,Arcata,California,Food & Beverage - Grocery,Democratic Workplace
North Country Food Co-op,Plattsburgh,New York,Food & Beverage - Grocery,Democratic Workplace
North Star Press of St. Cloud Inc.,St. Cloud,Minnesota,Media - Bookstores & Publishers,Worker Co-op
North Wind Renewable Energy Cooperative,Stevens Point,Wisconsin,Energy,Worker Co-op
Northwest Passage,Minneapolis,Minnesota,Tourism & Hospitality,Worker Co-op
NuMundo,Oakland,California,Tourism & Hospitality,Worker Co-op
Oasis Juice Bar,Austin,Texas,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Old City Print Shop,Philadelphia,Pennsylvania,Media - Copy & Printing,Worker Co-op
Olympia Food Co-op,Olympia,Washington,Food & Beverage - Grocery,Democratic Workplace
Open Bookstore,Schenectady,New York,Media - Bookstores & Publishers,Worker Co-op
Open Source Ecology,Maysville,Missouri,Engineering & Manufacturing,Democratic Workplace
Opportunity Threads,Morganton,North Carolina,Engineering & Manufacturing,Worker Co-op
Oya's Garden,Chicago,Illinois,Food & Beverage - Agriculture,Worker Co-op
Pachamama Coffee Cooperative,Jenkintown,Pennsylvania,Food & Beverage - Production & Manufacturing,Worker Co-op
Pacific Gold Co-op,Arcata,California,Build & Design - Construction,Worker Co-op
PagePoint Web Solutions,Chicago,Illinois,Technology - Graphic Design & Web Development,Worker Co-op
Paisley's Cleaning Cooperative,San Jose,California,Cleaning Services,Worker Co-op
Palante Technology Cooperative,New York,New York,Technology - Support Services,Worker Co-op
Parallel Infra,Portland,Oregon,Technology - Support Services,Worker Co-op
Participatory Budgeting Project,New York,New York,Business Support Services - Consulting,Democratic Workplace
Peace Fleece,Porter,Maine,Retail,Worker Co-op
Pedal People,Northampton,Massachusetts,Waste - Recycling,Worker Co-op
People Power Solar Cooperative,Oakland,California,Build & Design - Solar Installation,Worker Co-op
People's Food Co-op,Portland,Oregon,Food & Beverage - Grocery,Democratic Workplace
Permaculture Skills Center,Sebastopol,California,Education & Childcare,Worker Co-op
Phil A. Buster Pizza,Portland,Oregon,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Planned Lifetime Advocacy Network,Vancouver,British Columbia,Health - Home Care,Democratic Workplace
Playtime Creative,Brooklyn,New York,Media - Digital Production,Worker Co-op
Ploughshares Fund,San Francisco,California,Business Support Services - General,Democratic Workplace
PODER,San Francisco,California,Business Support Services - General,Democratic Workplace
Porchlight Products,Portland,Oregon,Engineering & Manufacturing,Worker Co-op
Positive Energy Solar,Santa Fe,New Mexico,Build & Design - Solar Installation,Worker Co-op
Praxis Legal Solutions,Oakland,California,Legal Services,Worker Co-op
Pressing On Collective,Portland,Oregon,Media - Copy & Printing,Worker Co-op
Prospera,Oakland,California,Business Support Services - Consulting,Worker Co-op
Purple Rose Theatre Company,Chelsea,Michigan,Arts & Entertainment,Democratic Workplace
Quince & Apple,Madison,Wisconsin,Food & Beverage - Production & Manufacturing,Worker Co-op
Radiate Consulting,Portland,Oregon,Business Support Services - Consulting,Worker Co-op
Radix Media,Brooklyn,New York,Media - Copy & Printing,Worker Co-op
Rainbow Blossom Natural Food Markets,Louisville,Kentucky,Food & Beverage - Grocery,Democratic Workplace
Rainbow Bookstore Cooperative,Madison,Wisconsin,Media - Bookstores & Publishers,Worker Co-op
Rainbow Grocery,San Francisco,California,Food & Beverage - Grocery,Worker Co-op
RAVEN,New York,New York,Technology - Graphic Design & Web Development,Worker Co-op
Real Pickles,Greenfield,Massachusetts,Food & Beverage - Production & Manufacturing,Worker Co-op
Realty Collective,Brooklyn,New York,Real Estate,Worker Co-op
Red and Black Cafe,Portland,Oregon,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
