name,city,state,industry,type
Women's Action to Gain Economic Security,San Francisco,California,Business Support Services - General,Democratic Workplace
Women's Bean Project,Denver,Colorado,Food & Beverage - Production & Manufacturing,Democratic Workplace
Women's Earth Alliance,Berkeley,California,Business Support Services - General,Democratic Workplace
Worker Owned and Run,Brooklyn,New York,Business Support Services - General,Worker Co-op
Working World,New York,New York,Business Support Services - General,Democratic Workplace
WORT 89.9FM Community Radio,Madison,Wisconsin,Media - Digital Production,Democratic Workplace
Zazzy's Pizza,New York,New York,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Zingerman's Community of Businesses,Ann Arbor,Michigan,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Democratic Workplace
Zurich Artisan Cheese,Zurich,Montana,Food & Beverage - Production & Manufacturing,Worker Co-op
AK Press,Chico,California,Media - Bookstores & Publishers,Worker Co-op
Breitenbush Hot Springs,Detroit,Oregon,Tourism & Hospitality,Worker Co-op
Cheese Board Collective,Berkeley,California,Food & Beverage - Bakeries,Worker Co-op
Citybikes Workers' Cooperative,Portland,Oregon,Retail,Worker Co-op
Defector Media,New York,New York,Media - Digital Production,Worker Co-op
Dollars and Sense,Boston,Massachusetts,Media - Bookstores & Publishers,Worker Co-op
East Harlem Cleaning LLC,New York,New York,Cleaning Services,Worker Co-op
Green Worker Cooperatives,Bronx,New York,Waste - Recycling,Worker Co-op
Hard Times Café,Minneapolis,Minnesota,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Little Grill Collective,Harrisonburg,Virginia,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Lucy Parsons Center,Boston,Massachusetts,Media - Bookstores & Publishers,Worker Co-op
Maximum Fun,Los Angeles,California,Media - Digital Production,Worker Co-op
Means TV,Detroit,Michigan,Media - Digital Production,Worker Co-op
New Prairie Construction,Urbana,Illinois,Build & Design - Construction,Worker Co-op
"Select Machine, Inc.",Kent,Ohio,Engineering & Manufacturing,Worker Co-op
Seward Community Cafe,Minneapolis,Minnesota,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Sustainergy,Cincinnati,Ohio,Energy,Worker Co-op
TESA Collective,Amherst,Massachusetts,Education & Childcare,Worker Co-op
Ace Copper Specialists,Minneapolis,Minnesota,Build & Design - Construction,Worker Co-op
Adams & Chittenden Scientific Glass,Berkeley,California,Engineering & Manufacturing,Worker Co-op
Adelante Worker Cooperative,Austin,Texas,Cleaning Services,Worker Co-op
Allied Media Projects,Detroit,Michigan,Media - Digital Production,Democratic Workplace
Alternatives Federal Credit Union,Ithaca,New York,Business Support Services - General,Democratic Workplace
Amigos del Sol Cooperative,Albuquerque,New Mexico,Build & Design - Solar Installation,Worker Co-op
Arizmendi Bakery San Rafael,San Rafael,California,Food & Beverage - Bakeries,Worker Co-op
Autonomous Design,Brooklyn,New York,Build & Design - Architecture & Interior Design,Worker Co-op
Baltimore Free Store,Baltimore,Maryland,Retail,Democratic Workplace
Brancato's Brick Oven Pizza,Kansas City,Missouri,"Food & Beverage - Restaurants, Cafes, Breweries, and Bars",Worker Co-op
Brennan Center for Justice,New York,New York,Legal Services,Democratic Workplace
Bridge City Electric,Portland,Oregon,Build & Design - Construction,Worker Co-op
Brooklyn Coop,Brooklyn,New York,Food & Beverage - Grocery,Democratic Workplace
Burley Design Cooperative,Eugene,Oregon,Engineering & Manufacturing,Worker Co-op
Center for Workplace Democracy,San Francisco,California,Business Support Services - Consulting,Democratic Workplace
Clean Green Maine,Portland,Maine,Cleaning Services,Worker Co-op
Co-op Cincy,Cincinnati,Ohio,Business Support Services - General,Worker Co-op
Co-op Dayton,Dayton,Ohio,Business Support Services - General,Worker Co-op
Co-op Power,Greenfield,Massachusetts,Energy,Worker Co-op
Community Wealth Partners,Washington,District of Columbia,Business Support Services - Consulting,Democratic Workplace
Cooperative Fund of New England,Wilmington,North Carolina,Business Support Services - General,Democratic Workplace
Cooperative Homecare Associates of Pennsylvania,Philadelphia,Pennsylvania,Health - Home Care,Worker Co-op
Cooperative Principle LLC,Asheville,North Carolina,Business Support Services - Consulting,Worker Co-op
Counter Culture Labs,Oakland,California,Engineering & Manufacturing,Democratic Workplace
Cultivate Coop,Minneapolis,Minnesota,Business Support Services - Consulting,Worker Co-op
Deep Dish TV,New York,New York,Media - Digital Production,Democratic Workplace
Design Jump,Minneapolis,Minnesota,Technology - Graphic Design & Web Development,Worker Co-op
Detroit Community Wealth Fund,Detroit,Michigan,Business Support Services - General,Democratic Workplace
Ecology Center,Berkeley,California,Waste - Recycling,Democratic Workplace
El Pajaro CDC,Watsonville,California,Business Support Services - General,Democratic Workplace
